Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
1.0675675675675675,1.36,,1.1481481481481481,1.5666666666666667
1.368421052631579,1.2941176470588236,1.4285714285714286,1.4761904761904763,1.5666666666666667
,,1.6666666666666667,1.1428571428571428,1.4545454545454546
1.537037037037037,1.2916666666666667,1.56,1.1612903225806452,1.4545454545454546
,,1.5454545454545454,1.7254901960784315,1.4210526315789473
1.619047619047619,1.2653061224489797,1.2173913043478262,1.1,
1.2857142857142858,,1.4736842105263157,1.5121951219512195,1.5609756097560976
,1.5076923076923077,1.125,1.5227272727272727,1.5609756097560976
,1.25,1.125,1.4137931034482758,1.75
1.2222222222222223,1.320754716981132,1.4444444444444444,1.4307692307692308,1.65625
1.2823529411764707,1.0816326530612246,1.8571428571428572,1.4375,1.2857142857142858
1.0769230769230769,,1.25,1.7333333333333334,1.3714285714285714
1.435897435897436,1.6,1.441860465116279,1.6923076923076923,1.3846153846153846
1.1891891891891893,1.1710526315789473,1.7272727272727273,1.2258064516129032,1.358974358974359
1.0,1.1917808219178083,1.0444444444444445,,
1.6,1.360655737704918,1.6521739130434783,,1.6
,1.0303030303030303,1.619047619047619,,1.4444444444444444
1.4166666666666667,1.368421052631579,1.75,,1.3409090909090908
1.4958677685950412,1.2,1.3571428571428572,1.793103448275862,1.2857142857142858
,,1.1923076923076923,,1.2857142857142858
1.0784313725490196,1.4277456647398843,1.0588235294117647,1.105263157894737,
1.826086956521739,1.05,1.4285714285714286,1.1267605633802817,1.3333333333333333
1.2647058823529411,1.0303030303030303,1.25,1.3846153846153846,1.4285714285714286
,1.1032608695652173,1.3658536585365855,1.4210526315789473,
,,1.125,1.625,
,,1.3571428571428572,1.7142857142857142,1.2222222222222223
,1.0930232558139534,1.0,1.5,
1.4181818181818182,1.323943661971831,1.0952380952380953,,1.4285714285714286
,1.2638888888888888,1.391304347826087,1.1904761904761905,1.3333333333333333
1.5483870967741935,1.5208333333333333,,1.1125,1.5
