Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
,0.9059292035398231,0.8878098471986416,0.9182439024390244,
,0.9046666666666665,0.883108108108108,0.919861111111111,0.9488888888888888
0.9406829268292681,0.888369704749679,0.8813973799126639,0.9143243243243243,0.8641666666666667
0.9099459459459459,0.8869019607843137,0.889238845144357,0.9466828675577157,0.888
0.9039534883720931,0.8687490039840639,0.8752979066022544,0.8852434456928838,0.8507042253521129
,0.891626607043041,0.903744292237443,0.9092457420924576,0.856
,0.9371428571428572,0.8830584707646177,0.8904225352112676,0.920677966101695
0.8903896103896104,0.9169122807017546,0.8877591973244147,0.8600990099009902,0.8634782608695649
0.8614516129032258,0.8890713587487782,0.9278021978021979,0.9104761904761905,0.8806451612903227
0.9600000000000001,0.8943689320388349,0.8897584541062804,0.9024719101123596,0.8799999999999998
0.8857370517928288,0.915068493150685,0.8707178631051752,0.9190022675736962,0.8797058823529412
0.8951598173515981,0.9028672566371682,0.8949602122015916,0.8917582417582418,0.842962962962963
0.9087449392712552,0.9116556291390728,0.8643626062322947,0.921176470588235,0.837632135306554
,0.8809374999999999,0.9181090909090908,0.8830853994490359,0.8610526315789473
0.9259720062208397,0.9039316239316239,0.8944262295081967,0.8723873121869782,0.8810769230769231
0.8875227502527806,0.8957099697885197,0.8956363636363635,0.9014352941176471,
0.8918946047678796,0.8889208633093525,0.9136254980079682,0.8942620232172471,
0.8978829389788294,0.898978102189781,0.8747603833865815,0.8845283018867925,0.8572477064220184
,0.9175510204081632,0.8482819383259912,0.8729970326409497,
,0.9068771138669675,0.9175757575757577,0.9003846153846153,0.9112
0.9126605504587156,0.9033821782178217,0.8876102088167055,0.8907446808510637,0.8887912087912088
0.9014012738853504,0.9065188470066519,0.9117977528089888,0.8930870712401056,0.8473333333333332
0.9153061224489797,0.9075747508305648,0.9144519015659957,0.9006896551724138,0.8730769230769232
,0.8932249322493225,0.9178947368421054,0.9253303471444569,0.9009174311926605
,0.8812565445026179,0.9023673469387754,0.8572649572649573,
,0.8944107744107743,0.8788429752066116,0.9229239766081873,0.8704761904761903
0.9321212121212121,0.8778274760383387,0.8612417437252312,0.8861538461538461,0.8228571428571431
0.9303073286052009,0.9122154222766218,0.9287229862475442,0.9059844271412683,0.8742857142857143
,0.9071002710027101,0.8947712418300654,0.8843523316062175,0.8692307692307693
,0.8986412128017968,0.9250152905198775,0.9175828460038987,0.8604878048780487
